@relation vote.symbolic

@attribute handicapped-infants {y,n,x}
@attribute water-project-cost-sharing {y,n,x}
@attribute adoption-of-the-budget-resolution {y,n,x}
@attribute physician-fee-freeze {y,n,x}
@attribute el-salvador-aid {y,n,x}
@attribute religious-groups-in-schools {y,n,x}
@attribute anti-satellite-test-ban {y,n,x}
@attribute aid-to-nicaraguan-contras {y,n,x}
@attribute mx-missile {y,n,x}
@attribute immigration {y,n,x}
@attribute synfuels-corporation-cutback {y,n,x}
@attribute education-spending {y,n,x}
@attribute superfund-right-to-sue {y,n,x}
@attribute crime {y,n,x}
@attribute duty-free-exports {y,n,x}
@attribute export-administration-act-south-africa {y,n,x}
@attribute class {republican, democrat}

@data
n,y,n,y,y,y,n,n,n,y,x,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,x,republican
x,y,y,x,y,y,n,n,n,n,y,n,y,y,n,n,democrat
n,y,y,n,x,y,n,n,n,n,y,n,y,n,n,y,democrat
y,y,y,n,y,y,n,n,n,n,y,x,y,y,y,y,democrat
n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,x,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,y,y,x,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,x,x,democrat
n,y,n,y,y,n,n,n,n,n,x,x,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,n,y,x,y,y,x,x,republican
n,y,y,n,n,n,y,y,y,n,n,n,y,n,x,x,democrat
y,y,y,n,n,y,y,y,x,y,y,x,n,n,y,x,democrat
n,y,n,y,y,y,n,n,n,n,n,y,x,x,n,x,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,x,n,x,republican
y,n,y,n,n,y,n,y,x,y,y,y,x,n,n,y,democrat
y,x,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,x,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,x,y,y,n,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,x,x,y,y,democrat
y,x,y,n,n,n,y,y,y,n,n,x,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,x,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,x,democrat
y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,x,n,y,y,y,n,n,n,y,n,y,x,y,n,y,republican
y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,x,n,n,n,n,x,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,x,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,x,democrat
y,y,y,n,n,n,y,y,x,n,y,n,n,n,y,x,democrat
